Год,Ссылка
2015,https://cyberleninka.ru/article/n/vtorye-dopolnitelnye-materialy-k-entomofaune-mordovskogo-gosudarstvennogo-prirodnogo-zapovednika
2015,https://cyberleninka.ru/article/n/fiziko-himicheskie-usloviya-vodoemov-mordovskogo-gosudarstvennogo-zapovednika
2015,https://cyberleninka.ru/article/n/materialy-k-gidrobiologii-vodoemov-mordovskogo-gosudarstvennogo-zapovednika
2015,https://cyberleninka.ru/article/n/izmenenie-struktury-i-soderzhanie-biologicheski-aktivnyh-veschestv-v-pridatke-semennika-hryakov-v-vozrastnom-aspekte
2015,https://cyberleninka.ru/article/n/spisok-bespozvonochnyh-invertebrata-mordovskogo-gosudarstvennogo-prirodnogo-zapovednika-ex-insecta-ectognatha
2015,https://cyberleninka.ru/article/n/vidy-yadovityh-zmey-fauny-nahchyvanskoy-avtonomnoy-respubliki-azerbaydzhana-1
2015,https://cyberleninka.ru/article/n/sosnovye-lesa-mordovskogo-gosudarstvennogo-zapovednika-kak-biotsenozy
2015,https://cyberleninka.ru/article/n/klimat-mordovskogo-gosudarstvennogo-zapovednika-1938-g
2015,https://cyberleninka.ru/article/n/ob-akklimatizatsii-pyatnistyh-oleney-v-mordovskom-zapovednike
2015,https://cyberleninka.ru/article/n/sostoyanie-pravoberezhnoy-polosy-r-chelbas-na-territorii-stanitsy-chelbasskoy-krasnodarskogo-kraya
2015,https://cyberleninka.ru/article/n/analiz-porodnogo-sostava-drevesnyh-nasazhdeniy-parka-dgtu-imeni-l-v-krasnichenko-g-rostova-na-donu
2015,https://cyberleninka.ru/article/n/svedeniya-po-kadastru-bespozvonochnyh-zhivotnyh-krasnoy-knigi-tulskoy-oblasti-2013
2015,https://cyberleninka.ru/article/n/plantktoi-bentofauna-vodnyh-obektov-mordovskogo-zapovednika-i-prilegayuschih-territoriy
2015,https://cyberleninka.ru/article/n/mokshanskaya-bobrovaya-populyatsiya-sozdanie-sostoyanie-otsenka-roli-mordovskogo-zapovednika-v-ee-vozrozhdenii
2015,https://cyberleninka.ru/article/n/zhuzhelitsy-coleoptera-carabidae-mordovskogo-zapovednika
2015,https://cyberleninka.ru/article/n/amfibii-i-reptilii-mordovskogo-zapovednika-obilie-vidov-i-sezonnaya-dinamika-chislennosti-v-nekotoryh-biotopah-po-rezultatam-ucheta
2015,https://cyberleninka.ru/article/n/dinamika-chislennosti-ptits-v-listvennyh-i-sosnovyh-lesah-mordovskogo-zapovednika-v-gnezdovoy-period
2015,https://cyberleninka.ru/article/n/redkie-rasteniya-na-bolotah-mordovskogo-zapovednika
2015,https://cyberleninka.ru/article/n/vidovoe-bogatstvo-i-struktura-faunisticheskoy-gruppirovki-zhukov-zhuzhelits-na-territorii-voronezhskogo-biosfernogo-rezervata
2015,https://cyberleninka.ru/article/n/gelminty-presmykayuschihsya-mordovii-predvaritelnye-svedeniya
